filename,label,note
gen_phish_001_ict.eml,phishing,generated (templated synthetic sample)
gen_phish_002_bursary.eml,phishing,generated (templated synthetic sample)
gen_phish_003_security.eml,phishing,generated (templated synthetic sample)
gen_phish_004_registrar.eml,phishing,generated (templated synthetic sample)
gen_phish_005_examsoffice.eml,phishing,generated (templated synthetic sample)
gen_phish_006_scholarship.eml,phishing,generated (templated synthetic sample)
gen_phish_007_hostel.eml,phishing,generated (templated synthetic sample)
gen_phish_008_vc.eml,phishing,generated (templated synthetic sample)
gen_phish_009_timetable.eml,phishing,generated (templated synthetic sample)
gen_phish_010_ictupdate.eml,phishing,generated (templated synthetic sample)
gen_phish_011_library.eml,phishing,generated (templated synthetic sample)
gen_phish_012_survey.eml,phishing,generated (templated synthetic sample)
gen_phish_013_convocation.eml,phishing,generated (templated synthetic sample)
gen_phish_014_sug.eml,phishing,generated (templated synthetic sample)
gen_phish_015_transcript.eml,phishing,generated (templated synthetic sample)
gen_legit_016_ict.eml,legitimate,generated (templated synthetic sample)
gen_legit_017_bursary.eml,legitimate,generated (templated synthetic sample)
gen_legit_018_security.eml,legitimate,generated (templated synthetic sample)
gen_legit_019_registrar.eml,legitimate,generated (templated synthetic sample)
gen_legit_020_examsoffice.eml,legitimate,generated (templated synthetic sample)
gen_legit_021_scholarship.eml,legitimate,generated (templated synthetic sample)
gen_legit_022_hostel.eml,legitimate,generated (templated synthetic sample)
gen_legit_023_vc.eml,legitimate,generated (templated synthetic sample)
gen_legit_024_timetable.eml,legitimate,generated (templated synthetic sample)
gen_legit_025_ictupdate.eml,legitimate,generated (templated synthetic sample)
gen_legit_026_library.eml,legitimate,generated (templated synthetic sample)
gen_legit_027_survey.eml,legitimate,generated (templated synthetic sample)
gen_legit_028_convocation.eml,legitimate,generated (templated synthetic sample)
gen_legit_029_sug.eml,legitimate,generated (templated synthetic sample)
gen_legit_030_transcript.eml,legitimate,generated (templated synthetic sample)
gen_phish_031_ict.eml,phishing,generated (templated synthetic sample)
gen_phish_032_bursary.eml,phishing,generated (templated synthetic sample)
gen_phish_033_security.eml,phishing,generated (templated synthetic sample)
gen_phish_034_registrar.eml,phishing,generated (templated synthetic sample)
gen_phish_035_examsoffice.eml,phishing,generated (templated synthetic sample)
gen_phish_036_scholarship.eml,phishing,generated (templated synthetic sample)
gen_phish_037_hostel.eml,phishing,generated (templated synthetic sample)
gen_phish_038_vc.eml,phishing,generated (templated synthetic sample)
gen_phish_039_timetable.eml,phishing,generated (templated synthetic sample)
gen_phish_040_ictupdate.eml,phishing,generated (templated synthetic sample)
gen_phish_041_library.eml,phishing,generated (templated synthetic sample)
gen_phish_042_survey.eml,phishing,generated (templated synthetic sample)
gen_phish_043_convocation.eml,phishing,generated (templated synthetic sample)
gen_phish_044_sug.eml,phishing,generated (templated synthetic sample)
gen_phish_045_transcript.eml,phishing,generated (templated synthetic sample)
gen_legit_046_ict.eml,legitimate,generated (templated synthetic sample)
gen_legit_047_bursary.eml,legitimate,generated (templated synthetic sample)
gen_legit_048_security.eml,legitimate,generated (templated synthetic sample)
gen_legit_049_registrar.eml,legitimate,generated (templated synthetic sample)
gen_legit_050_examsoffice.eml,legitimate,generated (templated synthetic sample)
gen_legit_051_scholarship.eml,legitimate,generated (templated synthetic sample)
gen_legit_052_hostel.eml,legitimate,generated (templated synthetic sample)
gen_legit_053_vc.eml,legitimate,generated (templated synthetic sample)
gen_legit_054_timetable.eml,legitimate,generated (templated synthetic sample)
gen_legit_055_ictupdate.eml,legitimate,generated (templated synthetic sample)
gen_legit_056_library.eml,legitimate,generated (templated synthetic sample)
gen_legit_057_survey.eml,legitimate,generated (templated synthetic sample)
gen_legit_058_convocation.eml,legitimate,generated (templated synthetic sample)
gen_legit_059_sug.eml,legitimate,generated (templated synthetic sample)
gen_legit_060_transcript.eml,legitimate,generated (templated synthetic sample)
